"diffusion_input","diffusion_output_1_heat","diffusion_output_1_rank","diffusion_output_2_heat","diffusion_output_2_rank","diffusion_output_3_heat","diffusion_output_3_rank","diffusion_output_4_heat","diffusion_output_4_rank","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","3.558491549206479E-6","19352","3.5803824311184236E-6","19367","3.54110790678402E-6","19366","6.541398434341498E-7","19662","3.4811900552057424E-6","19326","LINC01561","false","LINC01561"
"0.0","0.004373094035924542","832","2.2255916794752585E-5","17239","0.004373132107306491","866","0.004362455942507288","727","0.00436182370845645","759","FGF22","false","FGF22"
"0.0","1.1312787290357917E-6","19590","1.1980050911944262E-6","19592","1.2257211369724463E-6","19584","1.034435222142185E-6","19575","1.0366070768983913E-6","19584","RNF215","false","RNF215"
"0.0","2.333019918352378E-9","19814","2.3654111917837667E-9","19814","2.4344011551901404E-9","19814","1.7633454108540372E-9","19815","1.8081945608609188E-9","19815","CTRB2","false","CTRB2"
"0.0","3.148855363127009E-6","19375","3.1133764745294944E-6","19397","3.2496169548440883E-6","19376","2.420512099337747E-6","19325","2.631575085214241E-6","19382","PRR25","false","PRR25"
"0.0","3.310489435079215E-7","19734","3.6924050903338446E-7","19732","2.8029739848074273E-7","19746","3.1972143115140016E-7","19729","2.9275298597579567E-7","19734","SULT6B1","false","SULT6B1"
"0.0","6.111373250551667E-7","19685","7.218865197121618E-7","19676","6.741942863444636E-7","19676","5.625885090395831E-7","19680","6.727585535210204E-7","19665","OR2A2","false","OR2A2"
"0.0","6.281717109037218E-5","14609","3.4908330997892186E-5","16300","3.1723925335289235E-5","16445","6.280392426372789E-5","14226","6.295715528714378E-5","14383","LOC102724488","false","LOC102724488"
"0.0","6.104305362173267E-7","19686","7.412829514597336E-7","19672","5.625520356575378E-7","19693","6.234611063684185E-7","19670","5.602099429860453E-7","19684","OR2A25","false","OR2A25"
"0.0","1.514325821085645E-7","19778","1.61414086694749E-7","19776","1.557158320322E-7","19777","1.2698459465729172E-7","19776","1.5394027680931312E-7","19770","SIGLEC16","false","SIGLEC16"
"0.0","7.439346947288918E-6","19052","7.443380662797458E-6","19170","7.461822419244001E-6","19169","7.074088248517051E-7","19655","7.222937544517961E-6","19017","REG3G","false","REG3G"
"0.0","4.496107081640898E-7","19713","4.864986139119079E-7","19713","4.1617198382060255E-7","19720","4.0746359582736705E-7","19711","4.205910778448396E-7","19709","MBD3L3","false","MBD3L3"
"0.0","1.6949715659722808E-5","17810","1.631029838479099E-5","17907","1.5583248203230294E-5","17913","1.2216561125920488E-5","18024","1.4911204036555653E-5","17910","EEF1E1-BLOC1S5","false","EEF1E1-BLOC1S5"
"0.0","9.732150129652517E-6","18708","9.727636823924098E-6","18988","9.733748740169046E-6","18746","7.269379095420977E-6","18964","4.868216198978824E-6","19205","TXLNGY","false","TXLNGY"
"0.0","3.600797596658922E-7","19728","3.6722512252811723E-7","19733","3.534667823123972E-7","19728","2.498420919264829E-7","19741","2.9192358306103175E-7","19735","ARL9","false","ARL9"
"0.0","7.109520322915107E-7","19665","7.274446734358122E-7","19675","7.26678190180454E-7","19670","5.049446879106131E-7","19695","6.67457225352454E-7","19667","LINC00471","false","LINC00471"
"0.0","1.2881709703097262E-7","19783","1.4727456472810045E-7","19780","1.3453556794083928E-7","19781","1.0938283906768499E-7","19783","1.2858332701537106E-7","19778","FBXO47","false","FBXO47"
"0.0","9.067841987245347E-7","19638","1.011096014580603E-6","19620","9.354133960068636E-7","19628","9.124712347312436E-7","19598","9.54544920282841E-7","19600","PCDHA13","false","PCDHA13"
"0.0","2.4185235658398113E-7","19751","2.4580099135921104E-7","19752","2.7354254681837673E-7","19747","2.0270297951030468E-7","19757","2.376394255494932E-7","19749","GOLGA6L6","false","GOLGA6L6"
